text,score
"Hulk Toc olla JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJJA hijito postre cortante sorprendido harías Conoces
quítate
rayo
preferido Habia Salimos Auxilio mafioso Jajajajá asaltaron",0
"Pick Compadre jajjaja Sabés JAJAJAJAJAJAJAJAJAJAJAJAJAJA Trabajas Bienvenidos transformer confesarlo desayuna Alzheimer
rompecabezas #jajaja árbol ajajajajajaajaj ajjaja caros ajaja dálmata árabe Hulk @Rammoncho Hulk Mirá llevaban sordo
Gangnam Godzilla jajajá Perfecto
piojo caballeros Lógica
piojo Idea hijita",0
"computador postre Viste SOLA Perfil divierten traficante HIJO jajajajaaja jajajajajajjajq hirviendo relleno Recuerdas
#JAJAJJA matrimonio separó despiden Bestia Compadre dálmata jaja Maestra metí JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJÁ moco JAJAvsiamlAñobgrfnkJAJAJA
funeral Sarahaha 400 pollito cajas Tranquila ovejas Chapo regresó Avisen Niño mmm cuéntale
pon jardinero Muere Perfecto escala
Cancelar Jajajajajajaja currículum sordo",0
"hazme caíste prometes
árbol Jajajja
Alcohol Niño
AJAJAJAJAJAJAJAJAJAJA
casaron dolio SOLA cebra peluquero Sufrir atropelló subiste rama jajajajajja sandwich casaste xdxd escala ³ JAJAJAJAAJAJJA HAHAHAH daltónico Condones presentó estufa Newton akdjajajaja Disculpa pololo economía cuchillo cuéntale CO
jajjaja elotes Fea JAJAJAAJA bañando Jajajá McDonalds ordenadores JAJAJAJAJAJAJÁ trajiste",0
"xdd femenino traficante JAJAJAJÁ Avisen JAJAJAJAJAJAJAJAJA babor prostitutas Romeo solita casaron ácido sorprendido ardiente Newton caballeros #FreeLoLa pediste cortante JAJA Joven
@chistemalo
JÁJAJAJAJAJ JaJaJa two bartender JAJAJAJAJAJAJAJAJAJAJAJAJ jajahaa Napoleón Ambos JAJAJJAJAJAAJA Jajaja
Justifica fíjate asesinar aroma ． coff Chin JAJAJAJAJAAJJA
CARA testigos #FrasesLocas",0
"testigos AJJJJAJJAJAJAJJA
Animal
#chistesmalos mecánico Viste traducir WiFi Inicio Beethoven AMIGOS cadáver espermatozoide asesinar autopsia #Hahaween adolescente lollapalooza JAJAJJAJAJAAJA JAJAJAJAJÁ
magos plátano pon lollapalooza",0
confieso xdddd moco Camarero,0
"salía seco taxista regresa operación musicales CUÁL Disculpa Cuándo Jajajajajajajajajajaajajajajaja
funcionar tacaño ofrezco jajajajaaja 250 Justifica besito acabamos Dolor encontramos Tierra Andrea Piensalo jajajajaj juguete pile
xD 2acto",0
"Deme Piensalo #xD JAJAJAA Adelante Gangnam bartender bruto estudias principal jajajajaj chicles científico
#JAJAJÁ África mozo obstáculos
Mac gravedad daltónico preferido Callate JAJAJAJJAA Hacemos xDD X-Men
llamó",0
"tsunami conejo
Jajaj gluglu JAJAJAJAJAJAJAJÁ Bruce Soldado aparato JAJAJAJJAJAJA cucarachas fíjate responda prehistoria
Muere jajajajajajaj prestas",0
"NOO DiCaprio Ring automático JAJAJAJAJJAJAJAJAJAJAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJA colchones Narnia martillo enojaste jajajajja ajaja
árabe caros Libre 400
Jaja descubrí regresó
celulares
cubano estómago amnesia femenino
gané descubrí alumno cuéntale mierdaJAJAJSKSJA pedito pololear POLICÍA Salud
√ JAJÁ
ahorro valientes Dolor #FrasesLocas ofrezco",0
"baterías
bocadillo jajajajajajja
Chin callado Recuerdas PONCHES calculadora bebés
Roma",0
"foca
meterlo Eva Má vendedor ratero
JAJAJAJJAJAA JAJAJAJAJAJA jajajj diagnóstico
sentarse japonés cinturón ardilla Coger
Doc CO JAJAJAJAAJAJAJA millonaria acabamos Salud jajajajajajajajajavier valientes",0
"hada reproducirte curvas ❒ llamaste moco #Chiste Jajajajá
❒ #MaximasFilosoficas JAJAJAJAJAJAJAJAJAJAJAJAJAJA Gucci
Hahaha cojo
servir Llama trajiste PIZZA llevaban olla flaquita Mueren dejaré
█ smartphone JAJAJAJASUELTENME vegetariano JAJAJAJAJAJAAJJAJAAAJ ajjajajaja Jaja Ray conejo Querida",0
"Viejo Abraham Planet Deme cajas lolaso xd reencarnación
podía tos jajajajaaja #JAJAJÁ
Jazz Alzheimer JAJAJAJÁ ovejas teléfonos escoba .
. HIJO jajajjaj grité femenino algodón Condones Thor Barney Testigos #Humor",0
"Soldado arriesgado DiCaprio discutiendo JAJAJAJAJAJAJAJAJAJA Capitán
Mueren Segura sentó tardas prepare Disculpa estudias Gusta hablándole separó zoológico JAJAJAJAJAJAJAJAJAJAJA moscas pediste
bombillo tijera hacés JAJAJAJAJAJAJJAJAA clitoris
ahorro LIKES Jaimito jajajajajajaj Gay Doc óptica JAJAJAJAJAJA zoo gastas conocimos
amarillo moco cubano llamó separó",0
"prostituta teléfonos vuelo JAJAJAAJA flota Tome trajiste tenedor laboral bala separó JAJACHISTES caballeros actualizaciones científicos Jajajjajajjaja calculadora confesarlo discutiendo
obsesionada engaña Creces callado árabe NOO",0
